,name,Link,Plot
28,A Birder's Guide to Everything (2013),https://subslikescript.com/movie/A_Birders_Guide_to_Everything-1582465,"David Portnoy, a fifteen-year-old birding fanatic, thinks that he's made the discovery of a lifetime. So, on the eve of his father's remarriage, he escapes on an epic road trip with his best friends to solidify their place in birding history."
29,A Bit of Bad Luck (2014),https://subslikescript.com/movie/A_Bit_of_Bad_Luck-2406306,"Brooks Caldwell, (Cary Elwes) an erudite and handsome lawyer, seems to have it all: wealth, social status and a red hot career. His success is, in reality, a product of his marriage to his beautiful, socialite wife, Amanda, (Terri Polo) a wealthy timber heiress. Unlike most, who would remain content to enjoy a life of luxury and privilege, Brooks continues to risk everything by having extramarital affairs. Brooks' philandering, in addition to humiliating Amanda, has driven her to the point of a mental breakdown. Having been pushed over the edge, Amanda orchestrates a just and elaborate plan to bring her husband down. When Brooks leaves for a weekend romp with his latest squeeze, (Agnes Bruckner) his life quickly descends into a bizarre, nightmarish, downward spiral."
30,A Bittersweet Life (2005),https://subslikescript.com/movie/A_Bittersweet_Life-456912,Things go wrong for a high ranking mobster when he doesn't proceed by his boss's orders.
31,A Black Veil for Lisa (1968),https://subslikescript.com/movie/A_Black_Veil_for_Lisa-63323,"When a possessive narcotics detective strongly suspects that his young beautiful wife is cheating on him, he hires a professional hitman to bump her off. All the while trying to solve a string of strange murders."
32,A Blast (2014),https://subslikescript.com/movie/A_Blast-3813916,"Running away on the highway, Maria is alone in her roaring SUV. Behind her, fire and a case full of money. In front of her, the hopeless vastness of the motorway. Only a day before she was a caring mother, a loving wife, a responsible daughter. Today she has gone rogue."
33,A Blue Ridge Mountain Christmas (2019),https://subslikescript.com/movie/A_Blue_Ridge_Mountain_Christmas-10936658,"Hotel manager Willow returns to her stunning Virginia hometown to help her sister plan a Christmas wedding at the inn her family once owned. She must work with current owner and single dad David, who wants to let go of the past."
34,A Bluebird in My Heart (2018),https://subslikescript.com/movie/A_Bluebird_in_My_Heart-6921496,"Attempting to lead a quiet reformed life, an ex-con finds refuge in a motel run by a single mother and her daughter Clara. The peace and freedom he has found in this safe haven disappears ..."
35,A Bomb Was Stolen (1962),https://subslikescript.com/movie/A_Bomb_Was_Stolen-131571,"A dialogue free Romanian science-fiction spy-comedy that draws upon farce, satire and surrealism as it subversively deconstructs the spy thriller with the protagonist's accidental discovery of a nuclear suitcase bomb and the subsequent fight over ownership between the rival powers of the criminals and the military."
36,A Borrowed Life (1994),https://subslikescript.com/movie/A_Borrowed_Life-109691,"Sega, a Taiwanese born in the years of Japanese rule, felt closer to Japanese nationality and culture than to the Mainland Chinese authorities who took over in 1945. The Japanese contributed to the development of the island and its social infrastructure, leaving behind efficient and popular education and health-care systems. Conversely, Wen-Jian is typical of the sons born to Sega's generation. Born and raised under Chinese government, their natural allegiance is to Chinese culture. They are inevitably mystified by and impatient with their parents' fondness for Japanese culture and rule, their bafflement intensified by all they are taught about Japanese imperialist ambitions and wartime atrocities. Tjos os a generational conundrum with no solution, doubtless unique to Taiwan."
37,A Boss in the Living Room (2014),https://subslikescript.com/movie/A_Boss_in_the_Living_Room-3296204,"Cristina lives a peaceful life until her older brother Ciro, who has to attend a trial, asks to spend house arrests at Cristina's home."
38,A Box of Faith (2015),https://subslikescript.com/movie/A_Box_of_Faith-5007774,"After her mother dies and her dad is imprisoned for a crime he didn't commit, 16-year-old Dior is forced to live on the streets. Ms. Ward, a social worker, makes it her mission to track down the wily teen, who manages to stay a step ahead. Through their cat-and-mouse game, they unexpectedly teach each other the meaning of love and acceptance."
39,A Boy a Girl and a Dead Cat (1999),https://subslikescript.com/movie/A_Boy_a_Girl_and_a_Dead_Cat-405798,
40,A Boy and His Dog (1975),https://subslikescript.com/movie/A_Boy_and_His_Dog-72730,"A post-apocalyptic tale based on a novella by Harlan Ellison. A boy communicates telepathically with his dog as they scavenge for food and sex, and they stumble into an underground society where the old society is preserved. The daughter of one of the leaders of the community seduces and lures him below, where the citizens have become unable to reproduce because of being underground so long. They use him for impregnation purposes, and then plan to be rid of him."
41,A Boy and Sungreen (2019),https://subslikescript.com/movie/A_Boy_and_Sungreen-10402898,"Bo Hee, a 14 year old boy, was raised by a single mother and has always thought his father had passed away. Bo Hee hears that his father may be alive, and he sets out in search for him with..."
42,A Boy Called Christmas (2021),https://subslikescript.com/movie/A_Boy_Called_Christmas-10187208,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical, comic and endearing story that proves nothing is impossible."
43,A Boy Called Dad (2009),https://subslikescript.com/movie/A_Boy_Called_Dad-1433514,"When he becomes a father at the tender age of 14, Robbie's life quickly spirals out of control. Feeling angry and neglected by his own dad, he kick-starts a series of events that will ..."
44,A Boy Called Sailboat (2018),https://subslikescript.com/movie/A_Boy_Called_Sailboat-2201211,"A Hispanic family find hope in their extraordinary son named Sailboat when a personal gesture awakens a global desire. Armed with a ""little guitar"", Sailboat leads an offbeat cast into the miraculous story of the greatest secret never told."
45,A Boy. A Girl. A Dream. (2018),https://subslikescript.com/movie/A_Boy_A_Girl_A_Dream-6905402,"On the night of the 2016 Presidential election, Cass, an L.A. club promoter, takes a thrilling and emotional journey with Frida, a Midwestern visitor. She challenges him to revisit his broken dreams - while he pushes her to discover hers."
46,A Brand New Life (2009),https://subslikescript.com/movie/A_Brand_New_Life-1287875,"Young Jinhee is taken by her father to an orphanage near Seoul. He leaves her there never to return, and she struggles to come to grips with her fate. Jinhee desperately believes her father will come back for her and take her on a trip. The film is based on the experiences of the director, an ethnic Korean who was adopted by a French couple in the 1970s."
47,A Breath of Scandal (1960),https://subslikescript.com/movie/A_Breath_of_Scandal-53675,"Princess Olympia, despite her life status cannot resist the urge to satisfy her sexual appetites. Exiled to the countryside, Olympia falls in love with American millionaire Charlie Foster."
48,A Breed Apart (1984),https://subslikescript.com/movie/A_Breed_Apart-87001,"Jim Malden, a Vietnam veteran who has lost wife and child, lives as a recluse on an island full of rare birds. His only contacts with humanity are with Stella Clayton and her young son Adam, who have a small supply store on the mainland. One day, a mountain climber named Mike Walker brings a visit to the island to observe two very rare eagles; what he doesn't tell Malden is that he's hired by an egg collector to steal the eagles' eggs. In the end, after he's succeeded in bringing together Malden and Clayton, Walker gets a chance to lay hands on the eggs. He then decides to leave the eggs in the nest, influenced as he is by Malden."
49,A Bride for Christmas (2012),https://subslikescript.com/movie/A_Bride_for_Christmas-2415112,"After Jessie calls off her third engagement, she swears off serious relationships until she finds the one. That is, until charming but chronically single Aiden comes along. But unbeknownst to Jessie, Aiden has bet his friends that he can convince a woman to marry him by Christmas, which is only four weeks away."
50,A Bride's Revenge (2019),https://subslikescript.com/movie/A_Brides_Revenge-9287408,"Owning a successful hair salon and about to be married to the man of her dreams, MIYA doesn't think things can get any better. Things quickly begin to fall apart when she receives a wedding..."
51,A Bridge Too Far (1977),https://subslikescript.com/movie/A_Bridge_Too_Far-75784,"The true story of Operation Market Garden, the Allies attempt, in September 1944, to hasten the end of WW2 by driving through Belgium and Holland into Germany. The idea was for US airborne divisions to take the towns of Eindhoven and Nijmegen and a British airborne division, reinforced by a Polish airborne brigade, to take the town of Arnhem. They would be reinforced, in due course and in turn, by the British XXX Corps, land-based and driving up from the British lines in the south. The key to the operation was the bridges, as if the Germans held or blew them, the paratroopers could not be relieved. Faulty intelligence, Allied high command hubris and stubborn German resistance would ensure that Arnhem was a bridge too far."
52,A Brief Message from the Heart (1995),https://subslikescript.com/movie/A_Brief_Message_from_the_Heart-171572,"""Mother, are you happy with him? Father said nothing and died quietly."" Hiroshi borrows his sister Maki's laptop computer and finds a short message written to the mother who had abandoned them. Without telling Maki, Hiroshi submits her message to a Fukui prefecture collection, and it wins a prize. The episodic narrative gradually fills in the background to this message. She goes from being a design company employee to a restorer of medieval art works. He is a university student in Tokyo. Their father died of a heart attack and never spoke about the divorce from their mother. Hiroshi meets the mother and tries to bring her back to the family, despite Maki's violent objection."
53,A Brief Vacation (1973),https://subslikescript.com/movie/A_Brief_Vacation-69823,"A women lives a miserable life in the basement of her Milan apartment, with her boring inlaws and three children (boys). Her husband has been injured. Her bleak life takes an unexpected turn when she is diagnosed with tuberculosis and has to go to a sanatorium in the Italian Alps. At the medical clinic in Milan she meets young mechanic with the similar health problems. At the sanatorium she meets again the same man and they start a passionate love affair. All good things must come to an end. When she is cured, she has to return to that rathole from which she only briefly emerged."
54,A Brighter Summer Day (1991),https://subslikescript.com/movie/A_Brighter_Summer_Day-101985,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax."
55,A Brilliant Monster (2017),https://subslikescript.com/movie/A_Brilliant_Monster-6534422,
56,A Bronx Tale (1993),https://subslikescript.com/movie/A_Bronx_Tale-106489,"Gangster Sonny is the big man in the Bronx neighborhood of an Italian small boy named Calogero. A shooting witnessed by the boy (nicknamed C) is the starting point of a lasting bond between the gangster and the boy. Father (bus driver Lorenzo), however, disapproves. C grows up under the wing of both men, torn between his own natural honesty and his fascination with Sonny. C's neighborhood cronies get involved in theft, use of guns, and racial fights. When C falls for an African American girl, things don't get any easier. C's leap to manhood is marked by tragedy, but also by his recognition of the many faces of love."
57,A Brony Tale (2014),https://subslikescript.com/movie/A_Brony_Tale-3219678,"Vancouver-based voice artist Ashleigh Ball has been the voice of numerous characters in classic cartoons such as Care Bears, Strawberry Shortcake, Cinderella and more. When Ashleigh was hired to voice Apple Jack and Rainbow Dash for Hasbro's fourth series to use the My Little Pony name - My Little Pony: Friendship Is Magic - she had no idea she would become an Internet phenomenon and major celebrity to a worldwide fan-base of grownups. Bronies are united by their belief in the show's philosophy. This documentary gives an inside view of the Pony fan-world, and an intimate look at the courage it takes to just be yourself...even when that means liking a little girls' cartoon."
58,A Brother (2018),https://subslikescript.com/movie/A_Brother-9369620,"15 year old Tom is going to spend another calm summer with his parents and younger sister at their summer house. But by fate, another family comes to spend some time with them, with their 17 year old son Felix."
59,A Brother's Honor (2019),https://subslikescript.com/movie/A_Brothers_Honor-10559412,"3 brothers are reunited after their grandfather suffers a heart attack. The Granger men, Jace, Caden and Dalton promise their dying grandfather that they will work together to save the ..."
60,A Brother's Kiss (1997),https://subslikescript.com/movie/A_Brothers_Kiss-118783,"Two brothers, Lex and younger Mick, are living in Harlem. Mick is a policeman, and Lex, who spent youth years in reformatory because of injustice after he confronted the cop who tried to sodomize Mick on the street, is living with his wife Debbie trying to make ends meet and failing. One day Lex calls Mick - he has a problem..."
61,A Brush with Love (2019),https://subslikescript.com/movie/A_Brush_with_Love-9783876,"Jamie Spellman struggles to balance her dream of painting with the reality of such a difficult career choice, while having to choose between two men who seem perfect, but for very different reasons."
62,A Brutal Game (1983),https://subslikescript.com/movie/A_Brutal_Game-86505,"A strict father imposes impossible guidelines on his disabled daughter which reflect his secret, tortured life."
63,A Bucket of Blood (1995),https://subslikescript.com/movie/A_Bucket_of_Blood-112594,"A talentless artist accidently kills a cat and covers it up in plaster. He then sells it as a statue, and starts gaining the respect of the snobby group of artist that used to ridicule him. But now he has to come up with more and more statues, so he starts to kill humans and cover them up..."
64,A Bug's Life (1998),https://subslikescript.com/movie/A_Bugs_Life-120623,"At an annual pace, a huge colony of ants is forced to collect every piece of food that grows on their island for a group of menacing grasshoppers. But that all changes when a misfit inventor ant named Flik accidentally knocks over the offering pile thus forcing the grasshoppers' devious leader Hopper to force the ants to redo their gathering of food. Despite the fact that his friends don't believe him and desperate to help save the colony, Flik volunteers to go out into the world and search for a group of 'warrior' bugs. Instead, what he got was a talented group of circus performers. But when the grasshoppers return and take control of the island, Flik must prove himself a true hero before it's too late."
65,A Bullet for Pretty Boy (1970),https://subslikescript.com/movie/A_Bullet_for_Pretty_Boy-65501,"The movie tells the biography of the gangster Charles ""Pretty Boy"" Floyd who started his career young aged when he saw his father die and seeked out revenge by killing his murderer during a fight."
66,A Bullet for the General (1967),https://subslikescript.com/movie/A_Bullet_for_the_General-61429,"El Chuncho's bandits rob arms from a train, intending to sell the weapons to Elias' revolutionaries. They are helped by one of the passengers, Bill Tate, and allow him to join them, unaware he is an assassin working for the Mexican government."
67,A Bullet in the Gun Barrel (1958),https://subslikescript.com/movie/A_Bullet_in_the_Gun_Barrel-52337,
68,A Bundle of Trouble: An Aurora Teagarden Mystery (2017),https://subslikescript.com/movie/A_Bundle_of_Trouble_An_Aurora_Teagarden_Mystery-6760562,"Aurora ""Ro"" Teagarden, a Lawrenceton, Washington librarian, belongs to a real murder discussion club, its members including her best friend reporter Sally Allison, Ro's mother Aida Teagarden's boyfriend John Queensland, the town's mayor Terry Sternholz, and ex-juvvie Perry Dell. Ro and her boyfriend, ex-CIA agent Martin Bartell, receive a surprise visit from his long lost niece Regina Walker and her newborn Hayden. Martin didn't know she was married let alone a mother. Regina further mentions that she and her husband Craig Walker have been living in nearby Corinth, Washington for four months. Needing to head out to John's birthday party at Aida's house leaving Regina and Hayden alone at Ro's, Ro and Martin arrive home to find Regina and her car gone, Regina's bag still there, and a dead man on Ro's front porch, he who eventually is identified as Craig Walker. This murder case is the first as lead for Detective Arthur Smith, and the first for him working under his wife, Captain Lynn Smith. During or subsequent to Arthur and Lynn's initial visit to Ro's house to investigate, two additional people are discovered safe and alive in the house: baby Hayden, hidden in the bathroom bathtub; and Rory Brown, an apparent friend of Regina and Craig's who was hiding. What information Rory is willing to divulge is that he and Craig have a rap sheet of minor crimes, the latest, for which they were just released from a two-day stint in jail, being check fraud. Martin and Ro, often with the assistance of her murder club friends, decide to investigate on their own in their primary goal to find a still alive Regina, often not informing Arthur and Lynn of what they are doing. In the process, Ro wonders if the baby truly is Regina's. Two other issues arise during the investigation: whether Arthur and Lynn can maintain a happy marriage and professional relationship in their current positions; and if Ro and Martin, if they ever do decide to get married, are ready to be parents."
69,A Burning Hot Summer (2011),https://subslikescript.com/movie/A_Burning_Hot_Summer-1740053,"Frédéric and Angèle are a married couple, he a painter, she an actress of some renown who gave up her career to be with him. She is a woman who most men desire. Struggling actors Paul and Élisabeth, neither who has any money, start to date after they meet as extras on a movie set. Shortly before Paul and Élisabeth met, Frédéric and Paul became friends after being introduced by a mutual acquaintance. By association, all four become friends, especially strengthened when Paul and Élisabeth decide to move into Frédéric and Angèle's spacious apartment in Rome. Following an attempted suicide by Frédéric, Paul reflects on the friendship between the four. Because of physical proximity, they couldn't help but become closer emotionally. So whenever something happened within one of their lives, either directly concerning one or more of the others or not, it couldn't help but affect the other three, the battle lines more often drawn not by couple but by gender."
70,A Cage of Nightingales (1945),https://subslikescript.com/movie/A_Cage_of_Nightingales-39234,"""La Cage aux rossignols"" (A Cage of Nightingales) is the title of an autobiographical book that a young writer try to publish, which would allow him to marry so charming Martine. Under a pseudonym, Clement's book is published in La Dépêche a daily newspaper that publishes novels as serials. Martine can read the novel to her mother (voice-over). Story of this music lover, supervisor of a boarding reserved for young offenders who asks only to discover the joys of music by forming a choir. But Clément does not have only friends. The director of the institution, man petty and narrow-minded, never misses an opportunity to throw a spanner in the works..."
71,A California Christmas (2020),https://subslikescript.com/movie/A_California_Christmas-13055780,
72,A California Christmas: City Lights (2021),https://subslikescript.com/movie/A_California_Christmas_City_Lights-13701962,"Sequel to ""A California Christmas"". Follows Callie and Joseph one year after they fell in love, now running a dairy farm and winery, but their romance is threatened when business and family obligations call Joseph back to the city."
73,A Call Girl (2009),https://subslikescript.com/movie/A_Call_Girl-1224373,"Alexandra is a student from Krsko, a small town in Slovenia, while she studies the English language in Ljubljana, the capital of Slovenia. She has a plan to conquer the world. Working as a prostitute, her life is heading to where she wants it, but an accidental death has her wrestling with new feelings of fear, loneliness, confusion and responsibility."
74,A Call to Spy (2019),https://subslikescript.com/movie/A_Call_to_Spy-7698468,"In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies."
75,A Calling of Courage (2014),https://subslikescript.com/movie/A_Calling_of_Courage-6245540,
76,A Cam Life (2018),https://subslikescript.com/movie/A_Cam_Life-5657764,
77,A Candle in the Dark: The Story of William Carey (1998),https://subslikescript.com/movie/A_Candle_in_the_Dark_The_Story_of_William_Carey-1316409,
78,A Candle in the Window (2019),https://subslikescript.com/movie/A_Candle_in_the_Window-10934240,"After Molly dies, her husband and three young daughters struggle to face their first Christmas without her. But eight-year-old Emily is convinced her mother will come and visit her at Christmas."
79,A Canterbury Tale (1944),https://subslikescript.com/movie/A_Canterbury_Tale-36695,"A 'Land Girl', an American GI, and a British soldier find themselves together in a small Kent town on the road to Canterbury. The town is being plagued by a mysterious ""glue-man"", who pours glue on the hair of girls dating soldiers after dark. The three attempt to track him down, and begin to have suspicions of the local magistrate, an eccentric figure with a strange, mystical vision of the history of England in general and Canterbury in particular."
80,A Cape Cod Christmas (2021),https://subslikescript.com/movie/A_Cape_Cod_Christmas-12637024,"When a children's author hosts one last Christmas dinner with her disagreeable siblings before they sell the family house, she reunites with her childhood sweetheart who helps her find a way to keep the home she loves so dearly."
81,A Cappella (2016),https://subslikescript.com/movie/A_Cappella-4883758,"The movie is set in 1969, when Japanese students were enmeshed with campus riots, anti-war rallies, and the growth of subcultures in music, cinema, literature, and theater. Influenced by ..."
82,A Caribbean Dream (2017),https://subslikescript.com/movie/A_Caribbean_Dream-5334276,Contemporary re-imagining of Shakespeare's 'A Midsummer Night's Dream' set in the Caribbean on the island of Barbados. Chaos ensues when Puck the Butler and staff of a tropical paradise home turn into mischievous fairies and tamper with the wedding plans of three multicultural couples or was this a changeling boys dream ?
83,A Carol Christmas (2003),https://subslikescript.com/movie/A_Carol_Christmas-381942,An ego-maniacal TV talk show host is determined to destroy the festive fun in the studio.
84,A Case of Blue (2020),https://subslikescript.com/movie/A_Case_of_Blue-7911348,"Recently retired accountant Richard Flicker attends a life-drawing class and his world is turned upside down when he encounters free-spirited Amelia, the spitting image of a long lost love from decades ago. Grappling with a troubled home front, Richard flirts with the temptation of this second chance at romance."
